,tokenId,priceETH,timestamp
437,8630,28.251648733078792087,2021-08-21
438,7147,4.45,2021-07-13
439,7886,0.2,2021-05-01
440,4235,11.39,2021-08-03
441,5072,0.69,2021-05-30
442,5686,150,2022-01-31
443,784,16,2021-07-31
444,695,39,2021-10-30
445,4805,4,2021-07-12
446,8726,25,2021-08-21
447,3960,0.28,2021-05-02
448,6772,0.399,2021-05-02
449,8723,6.13,2021-07-16
450,9511,1.7,2021-06-07
451,9704,0.5,2021-05-03
452,9329,0.5,2021-05-10
453,965,0.12,2021-05-01
454,4100,36,2021-11-05
455,4963,4.5,2021-06-22
456,217,39.75,2021-09-18
457,2966,2.95,2021-06-18
458,1931,15,2021-07-19
459,1575,0.97,2021-06-05
460,3435,2.98,2021-06-01
461,6044,0.24,2021-05-02
462,6427,1.9,2021-06-08
463,3200,6.729,2021-07-17
464,9128,0.75,2021-05-03
465,3767,0.27,2021-05-02
466,4205,0.289,2021-05-05
467,123,5.5,2021-06-21
468,1291,0.3,2021-05-02
469,7209,0.3875,2021-05-22
470,3361,30,2021-08-23
471,5766,0.23,2021-05-01
472,3550,3,2021-06-19
473,9709,22,2021-08-21
474,9974,0.5,2021-05-09
475,4520,0.85,2021-05-31
476,5413,44,2021-08-25
477,6746,2.5,2021-06-18
478,1743,1.1,2021-06-02
479,4391,0.65,2021-05-30
480,1519,42,2021-09-15
481,3952,9,2021-08-02
482,3233,6.9,2021-07-23
483,1248,46,2021-09-22
484,5571,0.54,2021-05-03
485,5980,2,2021-06-02
486,5300,1.305,2021-06-06
487,5705,1.68,2021-06-27
488,9090,38,2021-09-05
489,1729,2,2021-06-09
490,2176,2,2021-06-18
491,6895,0.299,2021-05-02
492,3770,4.2,2021-07-13
493,4758,0.2,2021-05-01
494,429,1.05,2021-06-01
495,3750,0.24,2021-05-02
496,2168,49,2021-11-05
497,3516,2,2021-06-07
498,23,2,2021-05-27
499,7010,3,2021-05-06
500,5673,7.8788,2021-07-24
501,4386,1.49,2021-05-31
502,3806,30.15,2021-09-05
503,5815,4,2021-06-30
504,2025,0.89,2021-05-02
505,5890,1.99,2021-06-07
506,3897,8.49,2021-07-11
507,4767,1.25,2021-06-06
508,9575,8.5,2021-06-22
509,2591,0.49,2021-05-05
510,3624,27.9,2021-08-23
511,7537,1.85,2021-06-16
512,9627,40,2021-09-06
513,1774,1.42,2021-06-10
514,7091,24,2021-08-19
515,2610,1.1999,2021-05-31
516,1320,0.33,2021-05-05
517,6352,0.47,2021-05-03
518,1466,60,2021-09-03
519,9212,0.16,2021-05-01
520,2439,1.11,2021-05-03
521,6055,49,2021-10-02
522,1678,52.5,2021-11-14
523,7865,1.25,2021-06-06
524,8901,40,2021-09-15
525,367,36.75,2021-09-12
526,8560,0.55,2021-05-03
527,4804,2,2021-06-13
528,1980,0.35,2021-05-02
529,7876,15,2021-08-04
530,4986,1.89,2021-06-15
531,8704,1,2021-06-01
532,5938,1.1,2021-05-12
533,9634,50,2021-09-01
534,7329,38.69,2021-11-12
535,3902,2,2021-06-11
536,8307,0.45,2021-05-04
537,5233,100,2021-08-01
538,4902,0.43,2021-05-04
539,6481,14.15,2021-08-13
540,9469,4,2021-06-25
541,6553,20.6942,2021-08-20
542,9829,55,2021-08-28
543,4902,5.298,2021-07-14
544,3863,12,2021-06-01
